form	count	curated
aaron	322	
joseph	186	
abraham	182	
ephraim	180	
sion	180	
benjamin	163	
moab	154	
philisthiim	147	
joab	142	
galaad	130	
jordanem	128	
jonathas	122	
isaac	115	
nabuchodonosor	110	
samuel	109	
ammon	105	
jeroboam	99	
achab	87	
esau	83	
josaphat	83	
simon	81	
ruben	74	
ezechias	72	
gad	72	
hebron	70	
dan	69	
jeremiam	68	
jericho	67	
bethel	67	
joas	62	
philisthinorum	61	
jonathan	59	
job	59	
elias	58	
jehu	55	
sadoc	55	
tobias	52	
abimelech	52	
nephthali	51	
madian	50	
jordanis	49	
joram	49	
gabaa	48	
bethlehem	48	
jerosolymis	47	
roboam	46	
zabulon	46	
asaph	46	
jerosolymam	45	
simeon	45	
joakim	45	
eleazar	44	
aman	44	
nathan	43	
balaam	43	
caleb	41	
issachar	40	
caath	40	
assur	40	
hesebon	39	
achaz	39	
seir	39	
eliseus	38	
geth	35	
gabaon	35	
sinai	34	
lot	33	
gedeon	32	
antiochus	32	
mardochæus	32	
johanan	32	
josiæ	32	
sehon	31	
rachel	31	
jonathæ	30	
amorrhæi	30	
ezechiæ	30	
sara	30	
azarias	30	
abiathar	30	
laban	30	
bersabee	30	
samson	29	
jezrahel	29	
judith	29	
ramoth	29	
balac	29	
jeremiæ	28	
ismahel	28	
baasa	27	
jojada	27	
phinees	27	
demetrius	27	
saphan	27	
jabes	26	
eliam	26	
zorobabel	26	
booz	25	
sarviæ	25	
jojadæ	25	
benadad	25	
philisthæos	24	
arnon	24	
baalim	24	
ælam	24	
joachaz	24	
amorrhæorum	24	
simonis	24	
machabæus	24	
machir	22	
idumæa	22	
jezabel	22	
maacha	22	
og	22	
ezechiam	22	
thamar	22	
maspha	22	
adarezer	21	
jordane	21	
masphath	21	
ithamar	21	
zacharias	21	
nabal	21	
samuelem	21	
heber	21	
ozias	21	
banaias	21	
naboth	21	
holofernis	20	
nathanaël	20	
achitophel	20	
nadab	20	
timotheus	20	
helciæ	20	
raguel	20	
euphraten	20	
godoliam	19	
sennacherib	19	
hazaël	19	
cariathiarim	19	
galgala	19	
nathaniæ	19	
eliab	19	
sem	19	yes
elcana	19	
nachor	19	
joatham	19	
obededom	19	
zachariæ	19	
joël	18	
baltassar	18	
cain	18	yes
tharsis	18	
jephte	18	
abigail	17	
eliezer	17	
joppen	17	
michol	17	
rama	17	
isaiam	17	
aminadab	17	
idithun	17	
holofernes	17	
amorrhæum	17	
susan	17	
henoch	17	yes
bel	17	
cham	16	yes
eliasib	16	
simoni	16	
jerimoth	16	
josias	16	
achitob	16	
anathoth	16	
jacobum	16	
oziel	16	
azariæ	16	
mathathias	16	
jephone	16	
capharnaum	16	
amon	16	
achimelech	16	
ochozias	16	
jehiel	15	
jerobaal	15	
misach	15	
sarai	15	
ramatha	15	
achimaas	15	
lysias	15	
sidrach	15	
nabuzardan	15	
adonias	15	
sedeciæ	15	
abdenago	15	
jonadab	15	
miphiboseth	15	
jebusæum	15	
naaman	15	
elisama	15	
ptolemæus	15	
eliæ	15	
ela	15	
jebusæi	15	
siceleg	15	
michaël	15	
zachariam	14	
ephron	14	
raphaim	14	
antiochum	14	
dagon	14	
eliphaz	14	
tryphon	14	
jair	14	
astaroth	14	
hethæum	14	
sodomorum	14	
antiochi	14	
josedec	14	
asaël	14	
abel	14	yes
salathiel	14	
hesron	14	
hermon	14	
rechab	13	
amram	13	
gog	13	
barnabas	13	
eglon	13	
rebecca	13	
darii	13	
remmon	13	
jonatha	13	
ismaël	13	
hanan	13	
bethoron	13	
romeliæ	13	
timotheum	13	
moholi	13	
isboseth	13	
hethæi	13	
barac	13	
saram	13	
helcias	13	
belial	13	
tobiam	13	
mesopotamia	13	
pharan	12	
haran	12	
bethsan	12	
giezi	12	
sodoma	12	
athalia	12	
bethsabee	12	
gersom	12	
jether	12	
sur	12	
sobal	12	
rohob	12	
abinadab	12	
moloch	12	
eliseum	12	
zara	12	
azariam	12	
zechri	12	
arphaxad	12	
ruth	12	
philisthæus	12	
ochoziæ	12	
abiu	12	
jahiel	12	
gazer	12	
thare	12	
tobiæ	12	
eliacim	12	
berzellai	12	
jacobus	11	
galgalis	11	
mambre	11	
jazer	11	
michæas	11	
her	11	
dabir	11	
chusai	11	
eleazari	11	
joachin	11	
phacee	11	
nathinæi	11	
japheth	11	yes
cenez	11	
beelzebub	11	
nehemias	11	
mardochæum	11	
zebee	11	
cedron	11	
dibon	11	
rasin	11	
oziæ	11	
cadesbarne	11	
mageddo	11	
philisthæum	11	
lamech	11	yes
eliu	10	
pherezæum	10	
samma	10	
eleazaro	10	
agag	10	
dathan	10	
jeroham	10	
machmas	10	
jesse	10	
ammiud	10	
martha	10	
philisthæi	10	
topheth	10	
cyri	10	
melchisedech	10	
gessen	10	
elioënai	10	
segor	10	
idumæam	10	
eliel	10	
ennom	10	
idumææ	10	
zebedæi	10	
zambri	10	
sidonis	10	
ziph	10	
cyrus	10	
theman	10	
abiron	10	
naas	10	
thabor	10	
ptolemaidam	10	
semeia	10	
sodomam	10	
isaar	9	
ozi	9	
neriæ	9	
charmi	9	
sesac	9	
menelaus	9	
nahasson	9	
bosor	9	
salphaad	9	
gaal	9	
cariath	9	
saraa	9	
emmer	9	
musi	9	
enacim	9	
reblatha	9	
hevæi	9	
maasia	9	
ethan	9	
phassur	9	
jerameel	9	
jobab	9	
barachiæ	9	
modin	9	
hethæus	9	
maasiæ	9	
banaiam	9	
samuelis	9	
soccoth	9	
lia	9	
rabbath	9	
michæam	9	
ornan	9	
ethai	9	
jason	9	
ophir	9	
maresa	9	
rahab	9	
enan	9	
raphaël	9	
ceilam	9	
mardochæo	8	
zare	8	
rabsaces	8	
zabad	8	
aphec	8	
rahuel	8	
aran	8	
gomorrhæ	8	
jehus	8	
zachur	8	
thamna	8	
barabbam	8	
phanuel	8	
joppe	8	
sebeon	8	
accub	8	
gessur	8	
maceda	8	
isaiæ	8	
jethro	8	
lazarus	8	
cedmihel	8	
ciliciæ	8	
saphat	8	
